#{"t_start": 1760784164.8878198, "env_id": "None"}
r,l,t
-0.9,1,61.567177
-0.9,1,61.664392
-0.9,1,61.716504
-0.9,1,61.802475
-0.9,1,61.856088
-0.9,1,61.940439
-0.9,1,61.996304
-0.9,1,62.087019
-0.9,1,62.139313
-0.9,1,62.222049
-0.9,1,62.272829
-0.9,1,62.353883
-0.9,1,62.403408
-0.9,1,62.481249
-0.9,1,62.528365
-0.9,1,62.609255
-0.9,1,62.660185
-0.9,1,62.741319
-0.9,1,62.790616
-0.9,1,62.870231
-0.9,1,62.922038
-0.9,1,63.003395
-0.9,1,63.052173
-0.9,1,63.133122
-0.9,1,63.184304
-0.9,1,63.264479
-0.9,1,63.312243
-0.9,1,63.395079
-0.9,1,63.447331
-0.9,1,63.527774
-0.9,1,63.575169
-0.9,1,63.654508
-0.9,1,63.70436
-0.9,1,63.785697
-0.9,1,63.833295
-0.9,1,63.913779
-0.9,1,63.965838
-0.9,1,64.04543
-0.9,1,64.097039
-0.9,1,64.178822
-0.9,1,64.22873
-0.9,1,64.307424
-0.9,1,64.357071
-0.9,1,64.436713
-0.9,1,64.487982
-0.9,1,64.569438
-0.9,1,64.618998
-0.9,1,64.700795
-0.9,1,64.754199
-0.9,1,64.837471
-0.9,1,64.890006
-0.9,1,64.977176
-0.9,1,65.029007
-0.9,1,65.11128
-0.9,1,65.16105
-0.9,1,65.242901
-0.9,1,65.293099
-0.9,1,65.375571
-0.9,1,65.425218
-0.9,1,65.508057
-0.9,1,65.557899
-0.9,1,65.640035
-0.9,1,65.68929
-0.9,1,65.769496
-0.9,1,65.821654
-0.9,1,65.902206
-0.9,1,65.949775
-0.9,1,66.033959
-0.9,1,66.08779
-0.9,1,66.168859
-0.9,1,66.217916
-0.9,1,66.299012
-0.9,1,66.351089
-0.9,1,66.434848
-0.9,1,66.482731
-0.9,1,66.563992
-0.9,1,66.612996
-0.9,1,66.692773
-0.9,1,66.743869
-0.9,1,66.82674
-0.9,1,66.878072
-0.9,1,66.962036
-0.9,1,67.010335
-0.9,1,67.0937
-0.9,1,67.145409
-0.9,1,67.225823
-0.9,1,67.273772
-0.9,1,67.354297
-0.9,1,67.406482
-0.9,1,67.48969
-0.9,1,67.540558
-0.9,1,67.624909
-0.9,1,67.675214
-0.9,1,67.755557
-0.9,1,67.801331
-0.9,1,67.880906
-0.9,1,67.930344
-0.9,1,68.042142
-0.9,1,68.106529
-0.9,1,68.18908
-0.9,1,68.240238
-0.9,1,68.329183
-0.9,1,68.380865
-0.9,1,68.468042
-0.9,1,68.517403
-0.9,1,68.598949
-0.9,1,68.645497
-0.9,1,68.729254
-0.9,1,68.779155
-0.9,1,68.861655
-0.9,1,68.910572
-0.9,1,68.992808
-0.9,1,69.043786
-0.9,1,69.130428
-0.9,1,69.177224
-0.9,1,69.258356
-0.9,1,69.307667
-0.9,1,69.391047
-0.9,1,69.439275
-0.9,1,69.52087
-0.9,1,69.570162
-0.9,1,69.651121
-0.9,1,69.698608
-0.9,1,69.78056
-0.9,1,69.83047
-0.9,1,69.913178
-0.9,1,69.963037
-0.9,1,70.043253
-0.9,1,70.093246
-0.9,1,70.175207
-0.9,1,70.225582
-0.9,1,70.308576
-0.9,1,70.361254
-0.9,1,70.443009
-0.9,1,70.492219
-0.9,1,70.572069
-0.9,1,70.622009
-0.9,1,70.702708
-0.9,1,70.753199
-0.9,1,70.835281
-0.9,1,70.886209
-0.9,1,70.966872
-0.9,1,71.0155
-0.9,1,71.101689
-0.9,1,71.15812
-0.9,1,71.242163
-0.9,1,71.289806
-0.9,1,71.370227
-0.9,1,71.421669
-0.9,1,71.500478
-0.9,1,71.546162
-0.9,1,71.625678
-0.9,1,71.674483
-0.9,1,71.754987
-0.9,1,71.803731
-0.9,1,71.890003
-0.9,1,71.94118
-0.9,1,72.02368
-0.9,1,72.076766
-0.9,1,72.165066
-0.9,1,72.220127
-0.9,1,72.304127
-0.9,1,72.35428
-0.9,1,72.438739
-0.9,1,72.490246
-0.9,1,72.571472
-0.9,1,72.619983
-0.9,1,72.708953
-0.9,1,72.760137
-0.9,1,72.846104
-0.9,1,72.898294
-0.9,1,72.983606
-0.9,1,73.036859
-0.9,1,73.123544
-0.9,1,73.172878
-0.9,1,73.254971
-0.9,1,73.303655
