#{"t_start": 1760777147.9701302, "env_id": "None"}
r,l,t
208.8,200,51.426499
200.2,200,51.49241
199.491245,200,51.558078
173.35,179,51.617384
200.2,200,51.682617
200.2,200,52.270895
200.2,200,52.340045
155.391886,161,52.395238
200.2,200,52.464286
200.2,200,52.535552
200.2,200,53.107888
200.2,200,53.174409
159.35,165,53.230995
200.2,200,53.298092
200.2,200,53.364452
200.2,200,53.430546
200.2,200,54.033137
200.2,200,54.099698
148.391886,154,54.151823
200.2,200,54.218935
200.2,200,54.286013
200.2,200,54.915646
200.2,200,54.982714
200.2,200,55.049307
200.2,200,55.116283
200.2,200,55.182841
200.2,200,55.81831
200.2,200,55.88606
200.2,200,55.952505
200.2,200,56.01888
200.2,200,56.085861
200.2,200,56.659089
200.2,200,56.727312
200.2,200,56.793685
200.2,200,56.860474
200.2,200,56.927389
200.2,200,57.49072
200.2,200,57.557899
200.2,200,57.625164
176.35,182,57.685851
200.2,200,57.753013
200.2,200,57.819451
200.2,200,58.387005
200.2,200,58.45224
200.2,200,58.518223
199.182918,200,58.582574
200.2,200,58.647854
200.2,200,59.296311
200.2,200,59.362888
200.2,200,59.428852
200.2,200,59.49424
59.35,65,59.516783
200.2,200,59.581991
200.2,200,60.163693
200.2,200,60.2303
200.2,200,60.29641
200.2,200,60.362351
200.2,200,60.428843
200.2,200,60.991913
200.2,200,61.059348
200.2,200,61.126116
200.2,200,61.19308
200.2,200,61.259275
200.2,200,61.831889
204.8,200,61.898093
200.2,200,61.964062
200.2,200,62.030352
200.2,200,62.097052
200.2,200,62.730069
200.2,200,62.799087
200.2,200,62.866313
200.2,200,62.933015
200.2,200,63.001411
200.2,200,63.601802
200.2,200,63.667427
200.2,200,63.733725
200.2,200,63.79994
209.9,200,63.866413
200.2,200,64.475222
199.994306,200,64.542143
200.2,200,64.608746
202.6,200,64.67485
200.2,200,64.741083
83.391886,89,64.771445
200.2,200,65.519479
3.35,9,65.523936
200.2,200,65.591711
200.2,200,65.660098
200.2,200,65.728996
200.2,200,65.801439
69.35,75,66.440313
200.2,200,66.512094
200.2,200,66.588997
200.2,200,66.656083
40.35,46,66.672523
205.8,200,66.739518
200.2,200,67.417913
200.2,200,67.484739
200.2,200,67.551578
200.2,200,67.617357
200.2,200,67.683295
200.2,200,67.750943
200.2,200,68.502235
200.2,200,68.568798
200.2,200,68.635415
200.2,200,68.70233
200.2,200,68.770958
200.2,200,69.65236
200.2,200,69.721179
200.2,200,69.7909
200.2,200,69.859731
200.2,200,69.930596
200.2,200,70.637634
200.2,200,70.704024
200.2,200,70.77135
200.2,200,70.83836
200.2,200,70.903924
200.2,200,71.507711
200.2,200,71.572812
200.2,200,71.638004
200.2,200,71.703999
